# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2129032	2129262	+	WP_004143781.1	WP_004143781.1		DUF2554 family protein			KPN_RS30425	231	76	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2129275	2131236	-							KPN_RS10410	1962		old_locus_tag=KPN_01934
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2129275	2131236	-	WP_002907469.1	WP_002907469.1		peptidase U32 family protein			KPN_RS10410	1962	653	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2131270	2131437	+							KPN_RS10415	168		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2131270	2131437	+	WP_020806151.1	WP_020806151.1		hypothetical protein			KPN_RS10415	168	55	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2131448	2132017	-							KPN_RS10420	570		old_locus_tag=KPN_01935
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2131448	2132017	-	WP_002907473.1	WP_002907473.1		helix-turn-helix domain-containing protein			KPN_RS10420	570	189	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2132203	2133369	+							KPN_RS10425	1167		old_locus_tag=KPN_01936
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2132203	2133369	+	WP_015958506.1	WP_015958506.1		benzoate/H(+) symporter BenE family transporter			KPN_RS10425	1167	388	
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2133346	2134214	-							KPN_RS10430	869		pseudo;old_locus_tag=KPN_01937
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2133346	2134214	-				helix-turn-helix domain-containing protein			KPN_RS10430	869		pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2134395	2135291	+							KPN_RS10435	897		old_locus_tag=KPN_01938
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2134395	2135291	+	WP_004175913.1	WP_004175913.1		DMT family transporter			KPN_RS10435	897	298	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2135338	2136006	-							KPN_RS10440	669		old_locus_tag=KPN_01939
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2135338	2136006	-	WP_004184252.1	WP_004184252.1		DUF3313 domain-containing protein			KPN_RS10440	669	222	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2136267	2136863	-					tehB		KPN_RS10445	597		old_locus_tag=KPN_01940
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2136267	2136863	-	WP_015958508.1	WP_015958508.1		tellurite resistance methyltransferase TehB	tehB		KPN_RS10445	597	198	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2136860	2137864	-					tehA		KPN_RS10450	1005		old_locus_tag=KPN_01941
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2136860	2137864	-	WP_015958509.1	WP_015958509.1		dicarboxylate transporter/tellurite-resistance protein TehA	tehA		KPN_RS10450	1005	334	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2137976	2138956	+					ydcK		KPN_RS10455	981		old_locus_tag=KPN_01942
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2137976	2138956	+	WP_015958510.1	WP_015958510.1		YdcK family protein	ydcK		KPN_RS10455	981	326	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2138942	2139520	-					rimL		KPN_RS10460	579		old_locus_tag=KPN_01943
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2138942	2139520	-	WP_015958511.1	WP_015958511.1		50S ribosomal protein L7/L12-serine acetyltransferase	rimL		KPN_RS10460	579	192	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2139574	2141229	-							KPN_RS10465	1656		old_locus_tag=KPN_01944
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2139574	2141229	-	WP_002907489.1	WP_002907489.1		glucan biosynthesis protein D			KPN_RS10465	1656	551	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2141667	2142755	+							KPN_RS10470	1089		old_locus_tag=KPN_01945
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2141667	2142755	+	WP_015958513.1	WP_015958513.1		NAD(P)-dependent alcohol dehydrogenase			KPN_RS10470	1089	362	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2142802	2144307	-							KPN_RS10475	1506		old_locus_tag=KPN_01946
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2142802	2144307	-	WP_015958514.1	WP_015958514.1		carboxylesterase/lipase family protein			KPN_RS10475	1506	501	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2144349	2145692	-							KPN_RS10480	1344		old_locus_tag=KPN_01947
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2144349	2145692	-	WP_002907549.1	WP_002907549.1		VOC family protein			KPN_RS10480	1344	447	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2145932	2146672	+					pcaH		KPN_RS10485	741		old_locus_tag=KPN_01948
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2145932	2146672	+	WP_015958515.1	WP_015958515.1		protocatechuate 3,4-dioxygenase subunit beta	pcaH		KPN_RS10485	741	246	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2146669	2147289	+					pcaG		KPN_RS10490	621		old_locus_tag=KPN_01949
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2146669	2147289	+	WP_015958516.1	WP_015958516.1		protocatechuate 3,4-dioxygenase subunit alpha	pcaG		KPN_RS10490	621	206	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2147467	2148390	+							KPN_RS10495	924		old_locus_tag=KPN_01950
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2147467	2148390	+	WP_004143800.1	WP_004143800.1		LysR substrate-binding domain-containing protein			KPN_RS10495	924	307	
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2148691	2151064	+							KPN_RS10500	2374		pseudo;old_locus_tag=KPN_01951
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2148691	2151064	+				membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family			KPN_RS10500	2374		pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2151134	2152252	-							KPN_RS10505	1119		old_locus_tag=KPN_01952
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2151134	2152252	-	WP_004143804.1	WP_004143804.1		S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase			KPN_RS10505	1119	372	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2152277	2152552	-							KPN_RS10510	276		old_locus_tag=KPN_01953
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2152277	2152552	-	WP_002907563.1	WP_002907563.1		metal/formaldehyde-sensitive transcriptional repressor			KPN_RS10510	276	91	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2152657	2153184	-					cybB		KPN_RS10515	528		old_locus_tag=KPN_01954
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2152657	2153184	-	WP_002907640.1	WP_002907640.1		cytochrome b561	cybB		KPN_RS10515	528	175	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2153444	2153806	+							KPN_RS10520	363		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2153444	2153806	+	WP_004143806.1	WP_004143806.1		hypothetical protein			KPN_RS10520	363	120	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2153816	2154001	-							KPN_RS10525	186		old_locus_tag=KPN_01955
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2153816	2154001	-	WP_002907644.1	WP_002907644.1		hypothetical protein			KPN_RS10525	186	61	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2154244	2154708	-							KPN_RS10530	465		old_locus_tag=KPN_01956
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2154244	2154708	-	WP_004180158.1	WP_004180158.1		winged helix-turn-helix transcriptional regulator			KPN_RS10530	465	154	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2154902	2156056	+							KPN_RS10535	1155		old_locus_tag=KPN_01957
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2154902	2156056	+	WP_014343130.1	WP_014343130.1		MFS transporter			KPN_RS10535	1155	384	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2156214	2157215	+					add		KPN_RS10540	1002		old_locus_tag=KPN_01958
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2156214	2157215	+	WP_004151209.1	WP_004151209.1		adenosine deaminase	add		KPN_RS10540	1002	333	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2157251	2158291	-							KPN_RS10545	1041		old_locus_tag=KPN_01959
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2157251	2158291	-	WP_002907650.1	WP_002907650.1		oxidoreductase			KPN_RS10545	1041	346	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2158482	2158619	+					blr		KPN_RS28950	138		old_locus_tag=KPN_01960
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2158482	2158619	+	WP_004227851.1	WP_004227851.1		division septum protein Blr	blr		KPN_RS28950	138	45	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2158735	2160105	+							KPN_RS10550	1371		old_locus_tag=KPN_01961
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2158735	2160105	+	WP_004180160.1	WP_004180160.1		GH1 family beta-glucosidase			KPN_RS10550	1371	456	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2160322	2160537	+					ydgT		KPN_RS10555	216		old_locus_tag=KPN_01962
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2160322	2160537	+	WP_002907652.1	WP_002907652.1		transcription modulator YdgT	ydgT		KPN_RS10555	216	71	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2160613	2161053	+							KPN_RS10560	441		old_locus_tag=KPN_01963
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2160613	2161053	+	WP_015958518.1	WP_015958518.1		DUF2569 domain-containing protein			KPN_RS10560	441	146	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2161132	2161713	+					rsxA		KPN_RS10565	582		old_locus_tag=KPN_01964
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2161132	2161713	+	WP_002907658.1	WP_002907658.1		electron transport complex subunit RsxA	rsxA		KPN_RS10565	582	193	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2161713	2162291	+					rsxB		KPN_RS10570	579		old_locus_tag=KPN_01965
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2161713	2162291	+	WP_004143816.1	WP_004143816.1		electron transport complex subunit RsxB	rsxB		KPN_RS10570	579	192	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2162284	2164431	+					rsxC		KPN_RS10575	2148		old_locus_tag=KPN_01966
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2162284	2164431	+	WP_015958519.1	WP_015958519.1		electron transport complex subunit RsxC	rsxC		KPN_RS10575	2148	715	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2164432	2165484	+					rsxD		KPN_RS10580	1053		old_locus_tag=KPN_01967
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2164432	2165484	+	WP_002907730.1	WP_002907730.1		electron transport complex subunit RsxD	rsxD		KPN_RS10580	1053	350	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2165495	2166115	+					rsxG		KPN_RS10585	621		old_locus_tag=KPN_01968
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2165495	2166115	+	WP_002907731.1	WP_002907731.1		electron transport complex subunit RsxG	rsxG		KPN_RS10585	621	206	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2166118	2166816	+							KPN_RS10590	699		old_locus_tag=KPN_01969
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2166118	2166816	+	WP_015958520.1	WP_015958520.1		electron transport complex subunit E			KPN_RS10590	699	232	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2166818	2167453	+					nth		KPN_RS10595	636		old_locus_tag=KPN_01970
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2166818	2167453	+	WP_002907734.1	WP_002907734.1		endonuclease III	nth		KPN_RS10595	636	211	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2168061	2169566	+					dtpA		KPN_RS10605	1506		old_locus_tag=KPN_01972
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2168061	2169566	+	WP_041937639.1	WP_041937639.1		dipeptide/tripeptide permease DtpA	dtpA		KPN_RS10605	1506	501	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2169677	2170282	+					gstA		KPN_RS10610	606		old_locus_tag=KPN_01973
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2169677	2170282	+	WP_002907736.1	WP_002907736.1		glutathione transferase GstA	gstA		KPN_RS10610	606	201	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2170324	2171184	-					pdxY		KPN_RS10615	861		old_locus_tag=KPN_01974
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2170324	2171184	-	WP_002907739.1	WP_002907739.1		pyridoxal kinase PdxY	pdxY		KPN_RS10615	861	286	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2171246	2172520	-					tyrS		KPN_RS10620	1275		old_locus_tag=KPN_01975
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2171246	2172520	-	WP_002907740.1	WP_002907740.1		tyrosine--tRNA ligase	tyrS		KPN_RS10620	1275	424	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2172645	2173301	-					pdxH		KPN_RS10625	657		old_locus_tag=KPN_01976
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2172645	2173301	-	WP_002907742.1	WP_002907742.1		pyridoxamine 5'-phosphate oxidase	pdxH		KPN_RS10625	657	218	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2173359	2173682	-					mliC		KPN_RS10630	324		old_locus_tag=KPN_01977
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2173359	2173682	-	WP_002907744.1	WP_002907744.1		C-type lysozyme inhibitor	mliC		KPN_RS10630	324	107	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2173775	2174899	-					anmK		KPN_RS10635	1125		old_locus_tag=KPN_01978
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2173775	2174899	-	WP_004143831.1	WP_004143831.1		anhydro-N-acetylmuramic acid kinase	anmK		KPN_RS10635	1125	374	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2175166	2175633	+					slyB		KPN_RS10640	468		old_locus_tag=KPN_01979
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2175166	2175633	+	WP_002907749.1	WP_002907749.1		outer membrane lipoprotein SlyB	slyB		KPN_RS10640	468	155	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2175856	2177217	+							KPN_RS10645	1362		old_locus_tag=KPN_01980
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2175856	2177217	+	WP_004151205.1	WP_004151205.1		GGDEF domain-containing protein			KPN_RS10645	1362	453	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2177251	2177691	-					slyA		KPN_RS10650	441		old_locus_tag=KPN_01981
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2177251	2177691	-	WP_004143833.1	WP_004143833.1		transcriptional regulator SlyA	slyA		KPN_RS10650	441	146	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2177864	2178100	+							KPN_RS10655	237		old_locus_tag=KPN_01982
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2177864	2178100	+	WP_004143834.1	WP_004143834.1		DUF1656 domain-containing protein			KPN_RS10655	237	78	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2178111	2179007	+							KPN_RS10660	897		old_locus_tag=KPN_01983
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2178111	2179007	+	WP_004143835.1	WP_004143835.1		HlyD family secretion protein			KPN_RS10660	897	298	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2179007	2181031	+							KPN_RS10665	2025		old_locus_tag=KPN_01984
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2179007	2181031	+	WP_015958526.1	WP_015958526.1		FUSC family protein			KPN_RS10665	2025	674	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2181024	2181545	-					sodC		KPN_RS10670	522		old_locus_tag=KPN_01985
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2181024	2181545	-	WP_004184268.1	WP_004184268.1		superoxide dismutase [Cu-Zn] SodC	sodC		KPN_RS10670	522	173	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2181615	2182511	-							KPN_RS10675	897		old_locus_tag=KPN_01986
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2181615	2182511	-	WP_002907760.1	WP_002907760.1		aldo/keto reductase			KPN_RS10675	897	298	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2182560	2182802	-							KPN_RS10680	243		old_locus_tag=KPN_01987
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2182560	2182802	-	WP_004189722.1	WP_004189722.1		DUF1289 domain-containing protein			KPN_RS10680	243	80	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2182942	2183541	+							KPN_RS10685	600		old_locus_tag=KPN_01988
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2182942	2183541	+	WP_009486422.1	WP_009486422.1		TetR/AcrR family transcriptional regulator			KPN_RS10685	600	199	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2183595	2184692	+							KPN_RS10690	1098		old_locus_tag=KPN_01989
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2183595	2184692	+	WP_002907763.1	WP_002907763.1		alkene reductase			KPN_RS10690	1098	365	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2184771	2185178	+					gloA		KPN_RS10695	408		old_locus_tag=KPN_01990
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2184771	2185178	+	WP_002907764.1	WP_002907764.1		lactoylglutathione lyase	gloA		KPN_RS10695	408	135	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2185316	2185963	+					rnt		KPN_RS10700	648		old_locus_tag=KPN_01991
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2185316	2185963	+	WP_002907766.1	WP_002907766.1		ribonuclease T	rnt		KPN_RS10700	648	215	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2186011	2186358	-							KPN_RS10705	348		old_locus_tag=KPN_01992
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2186011	2186358	-	WP_002907768.1	WP_002907768.1		Grx4 family monothiol glutaredoxin			KPN_RS10705	348	115	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2186699	2187571	+							KPN_RS10710	873		old_locus_tag=KPN_01993
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2186699	2187571	+	WP_004151204.1	WP_004151204.1		C40 family peptidase			KPN_RS10710	873	290	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2187526	2188011	-							KPN_RS10715	486		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2187526	2188011	-	WP_004212764.1	WP_004212764.1		helix-turn-helix domain-containing protein			KPN_RS10715	486	161	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2188481	2189062	+					sodB		KPN_RS10720	582		old_locus_tag=KPN_01994
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2188481	2189062	+	WP_015958527.1	WP_015958527.1		superoxide dismutase [Fe]	sodB		KPN_RS10720	582	193	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2189124	2190290	-							KPN_RS10725	1167		old_locus_tag=KPN_01995
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2189124	2190290	-	WP_002907773.1	WP_002907773.1		MFS transporter			KPN_RS10725	1167	388	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2190457	2190549	-							KPN_RS30435	93		
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2190457	2190549	-	WP_002907776.1	WP_002907776.1		YnhF family membrane protein			KPN_RS30435	93	30	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2190842	2191867	+					purR		KPN_RS10735	1026		old_locus_tag=KPN_01996
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2190842	2191867	+	WP_002907778.1	WP_002907778.1		HTH-type transcriptional repressor PurR	purR		KPN_RS10735	1026	341	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2191794	2192798	-					punR		KPN_RS10740	1005		old_locus_tag=KPN_01997
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2191794	2192798	-	WP_015958528.1	WP_015958528.1		DNA-binding transcriptional activator PunR	punR		KPN_RS10740	1005	334	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2192911	2194092	+					punC		KPN_RS10745	1182		old_locus_tag=KPN_01998
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2192911	2194092	+	WP_002907785.1	WP_002907785.1		purine nucleoside transporter PunC	punC		KPN_RS10745	1182	393	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2194385	2195533	+					cfa		KPN_RS10750	1149		old_locus_tag=KPN_01999
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2194385	2195533	+	WP_002907788.1	WP_002907788.1		cyclopropane fatty acyl phospholipid synthase	cfa		KPN_RS10750	1149	382	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2195570	2196205	-							KPN_RS10755	636		old_locus_tag=KPN_02000
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2195570	2196205	-	WP_002907792.1	WP_002907792.1		riboflavin synthase			KPN_RS10755	636	211	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2196435	2197808	+					mdtK		KPN_RS10760	1374		old_locus_tag=KPN_02001
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2196435	2197808	+	WP_004148609.1	WP_004148609.1		MdtK family multidrug efflux MATE transporter	mdtK		KPN_RS10760	1374	457	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2197984	2198277	+					asr		KPN_RS10765	294		old_locus_tag=KPN_02002
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2197984	2198277	+	WP_015958530.1	WP_015958530.1		acid resistance repetitive basic protein Asr	asr		KPN_RS10765	294	97	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2198418	2198996	-							KPN_RS10770	579		old_locus_tag=KPN_02004
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2198418	2198996	-	WP_004175848.1	WP_004175848.1		TIGR00730 family Rossman fold protein			KPN_RS10770	579	192	
gene	tRNA	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199251	2199327	+							KPN_RS10775	77		old_locus_tag=KPN_02005
tRNA		GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199251	2199327	+				tRNA-Val			KPN_RS10775	77		anticodon=GAC
gene	tRNA	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199332	2199408	+							KPN_RS10780	77		old_locus_tag=KPN_02006
tRNA		GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199332	2199408	+				tRNA-Val			KPN_RS10780	77		anticodon=GAC
gene	tRNA	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199413	2199489	+							KPN_RS10785	77		old_locus_tag=KPN_02007
tRNA		GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2199413	2199489	+				tRNA-Val			KPN_RS10785	77		anticodon=GAC
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2200105	2200281	-							KPN_RS32725	177		partial;pseudo
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2200105	2200281	-				hypothetical protein			KPN_RS32725	177		partial;pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2201182	2201934	-							KPN_RS10800	753		old_locus_tag=KPN_02008
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2201182	2201934	-	WP_032420291.1	WP_032420291.1		SDR family oxidoreductase			KPN_RS10800	753	250	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2202033	2202959	+							KPN_RS10805	927		old_locus_tag=KPN_02009
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2202033	2202959	+	WP_009486407.1	WP_009486407.1		AraC family transcriptional regulator			KPN_RS10805	927	308	
